Calories,Total Fat (g),Total Sugars (g),Carbohydrates (Carbs) (g),Protein (g),Cluster
256,19.6,25.3,40.4,22.0,1
345,37.5,47.6,89.7,3.2,1
439,18.5,25.5,73.3,42.9,0
391,0.5,24.0,60.3,24.8,0
469,22.4,31.2,45.8,29.8,2
596,18.2,38.7,91.6,43.0,0
309,7.5,37.1,16.0,36.9,2
330,8.9,47.6,4.4,26.7,2
64,37.7,7.7,95.9,19.7,1
413,20.0,7.4,66.1,33.9,0
597,23.3,42.8,21.7,34.4,2
632,17.2,20.5,7.1,2.2,1
160,32.1,20.9,44.5,46.1,2
399,7.9,27.3,22.7,25.1,2
739,35.1,26.3,95.9,36.6,0
785,6.5,33.8,91.6,37.8,0
54,36.3,16.6,86.8,44.3,1
417,5.2,45.5,80.1,20.8,0
316,37.1,36.3,30.9,29.7,2
275,20.5,14.2,80.4,16.5,1
76,9.5,23.1,95.8,25.5,0
78,17.5,45.4,94.5,40.8,0
103,10.0,17.2,15.2,32.7,1
254,27.8,22.3,45.2,33.9,1
250,10.9,27.8,38.0,4.0,1
246,22.0,42.6,38.2,10.9,1
569,34.7,22.0,80.0,44.8,2
456,15.3,24.1,68.6,28.5,0
740,19.6,22.1,48.9,45.3,2
113,14.5,19.0,26.8,11.7,1
553,12.5,46.7,83.3,4.3,0
507,31.5,14.1,28.6,11.4,1
176,26.5,21.1,14.1,30.8,1
176,25.4,28.2,93.7,5.8,1
473,34.8,29.0,25.9,42.4,2
673,0.8,22.0,12.2,48.4,2
772,19.7,26.4,75.8,10.0,0
196,18.8,10.3,16.8,24.5,1
326,0.1,11.4,1.1,28.6,0
589,14.5,23.6,64.3,36.7,0
143,24.7,5.8,78.3,11.6,1
517,35.4,49.4,62.9,21.2,2
111,32.1,17.0,42.8,2.4,1
264,39.0,4.8,92.9,6.9,1
134,29.0,32.5,73.5,21.5,1
228,1.4,11.2,73.3,25.8,0
754,35.7,38.1,53.3,8.1,2
173,15.2,27.7,18.2,13.8,1
94,3.9,34.4,64.3,22.7,0
597,30.3,17.3,77.1,6.7,1
589,15.1,15.0,25.0,31.5,2
299,26.4,27.9,78.1,25.2,1
359,39.8,42.9,14.8,49.3,2
718,18.6,26.5,55.8,46.0,2
463,19.3,13.2,28.6,18.3,1
356,38.1,37.3,73.1,47.2,2
249,5.1,6.1,66.6,37.3,0
791,16.9,37.5,35.3,38.2,2
708,3.5,38.8,15.6,6.8,2
383,28.8,1.3,79.5,19.3,1
576,4.0,19.6,84.1,8.6,0
96,32.9,9.7,57.4,47.5,1
127,8.3,42.6,38.5,27.8,2
498,7.1,22.6,8.6,18.3,2
396,19.9,30.7,75.4,34.5,0
257,7.7,28.7,11.6,3.5,1
683,29.5,24.2,66.6,21.3,2
308,35.4,40.2,3.1,42.2,2
552,32.3,4.4,93.5,0.1,1
326,38.1,2.6,36.9,35.8,1
83,3.6,44.5,45.6,2.0,1
141,39.8,49.0,75.9,29.3,2
469,27.8,46.7,82.7,31.6,2
152,31.1,39.8,6.3,48.4,2
720,6.6,10.2,49.4,48.3,0
298,33.2,23.8,32.4,27.8,1
240,6.3,39.7,10.0,0.4,1
226,26.0,14.5,24.1,19.3,1
749,33.2,9.1,38.6,20.8,1
439,16.2,22.8,74.4,38.5,0
784,25.5,14.9,3.0,11.4,2
85,0.1,10.4,86.6,36.3,0
564,20.1,1.5,1.4,6.9,1
206,4.3,11.2,65.0,19.5,0
265,32.7,15.5,3.8,49.2,2
439,6.2,17.5,42.8,3.0,1
613,17.0,41.1,3.7,24.1,2
163,19.1,5.2,57.5,9.7,1
709,26.1,28.5,2.7,41.5,2
603,27.7,29.7,58.2,47.1,2
265,18.7,41.6,84.1,36.8,0
692,30.8,5.6,98.7,21.9,0
668,4.9,43.1,88.3,20.4,0
735,17.2,21.7,24.1,46.2,2
138,34.0,32.1,23.6,16.0,1
470,32.5,18.2,48.0,13.3,1
404,20.8,35.1,76.8,3.0,1
694,32.2,39.7,54.8,39.8,2
255,34.8,33.9,12.6,35.7,2
328,12.1,38.2,70.8,30.3,0
444,15.9,1.2,91.4,29.2,0
195,19.2,40.7,74.4,33.5,0
612,13.6,17.6,95.2,49.8,0
347,32.3,13.1,82.6,43.4,0
105,3.2,19.0,81.6,31.8,0
335,24.2,29.9,87.8,25.7,0
97,6.0,11.7,21.6,36.3,1
529,0.0,15.6,76.0,45.9,0
748,36.1,41.9,63.0,41.8,2
507,15.5,10.4,79.4,4.2,0
567,10.2,12.8,17.5,14.4,1
200,14.0,36.8,70.5,12.4,0
710,20.0,42.1,39.5,42.2,2
342,1.9,30.9,85.4,28.9,0
106,24.6,21.4,88.5,21.3,1
655,6.3,28.7,75.7,36.9,0
125,15.8,35.9,25.8,22.8,1
102,29.9,30.8,82.9,25.5,1
276,2.3,24.0,37.6,48.9,0
573,10.4,36.7,80.5,25.9,0
392,21.0,24.9,1.2,44.5,2
136,36.0,10.6,15.7,45.1,1
755,35.1,17.0,78.2,2.2,1
601,6.0,33.9,68.1,17.7,0
648,1.2,26.9,61.6,30.8,0
89,29.0,33.5,7.9,33.6,2
152,1.7,11.9,91.3,7.3,0
706,24.3,30.1,51.1,30.1,2
388,9.7,13.1,62.8,28.6,0
419,25.5,44.7,22.6,26.6,2
732,34.1,48.3,73.8,1.7,2
686,26.2,8.6,85.8,29.2,0
304,26.8,46.6,90.2,25.0,0
133,29.5,3.3,91.9,2.3,1
588,24.9,22.8,73.9,9.6,1
667,7.0,17.1,47.8,14.5,0
70,9.9,40.7,25.1,35.0,2
175,25.0,16.0,24.6,7.7,1
176,16.7,18.4,60.6,18.7,1
427,3.0,28.9,80.8,4.9,0
183,17.5,23.9,99.0,25.5,0
484,35.0,45.5,41.2,28.8,2
787,26.6,18.6,46.7,22.5,2
130,12.2,47.8,12.7,28.0,2
704,36.0,42.9,78.2,11.9,2
481,3.0,23.6,58.0,27.9,0
512,1.5,36.0,30.1,46.3,2
569,5.8,6.9,87.0,1.6,0
377,29.8,47.7,59.2,14.7,2
415,29.9,24.4,49.4,28.3,2
543,15.2,23.1,70.7,21.5,0
555,8.8,7.3,42.7,7.3,0
305,7.5,14.0,65.3,36.9,0
649,9.5,29.1,61.6,4.1,0
207,9.6,7.3,67.8,40.6,0
380,23.0,29.9,78.2,0.4,1
220,21.3,25.5,76.2,39.7,0
639,8.8,33.3,66.9,36.7,0
332,35.9,23.1,81.5,14.2,1
171,29.4,12.9,90.8,14.6,1
787,36.7,18.5,20.0,47.7,2
457,15.1,13.3,82.8,19.8,0
137,13.5,26.9,72.1,42.5,0
172,32.1,7.1,71.3,48.0,1
118,8.9,33.0,64.7,5.7,1
78,32.5,5.9,35.3,40.7,1
505,19.8,10.3,52.0,17.6,1
496,38.4,4.8,80.1,19.8,1
170,18.9,34.8,88.9,48.8,0
270,26.8,10.5,99.7,26.5,1
185,13.0,24.0,75.8,11.3,1
772,13.5,15.0,32.0,41.7,2
445,26.1,49.9,23.3,6.9,2
649,31.9,31.0,76.0,41.4,2
353,7.8,24.3,15.1,26.9,2
387,24.1,1.3,43.0,31.1,1
172,0.0,29.9,57.9,31.1,0
436,31.1,33.0,66.7,30.8,2
295,18.3,43.5,13.4,11.0,2
379,13.3,8.7,27.0,25.4,1
678,25.1,7.0,40.0,28.5,2
384,13.8,30.2,1.5,14.9,2
454,39.6,8.5,29.4,25.7,1
374,19.1,48.1,32.7,44.0,2
144,21.1,4.4,8.2,3.6,1
482,16.5,4.9,93.6,0.7,0
243,28.4,31.2,63.8,27.1,1
277,8.3,1.7,54.5,15.7,1
644,40.0,29.0,72.0,20.6,2
486,13.2,25.2,80.7,46.4,0
521,14.7,37.2,93.5,26.5,0
557,12.4,21.2,17.1,27.4,2
689,2.4,36.2,97.6,0.9,0
198,4.0,14.2,51.7,13.7,0
150,18.6,18.3,36.2,45.2,2
283,13.8,36.4,41.0,33.9,2
337,31.1,6.8,66.9,5.0,1
523,10.0,44.3,16.3,43.9,2
708,31.5,3.2,69.3,14.0,1
669,37.2,9.8,53.9,21.7,1
164,15.4,32.4,44.3,8.5,1
149,31.7,22.3,46.4,4.9,1
683,1.6,21.5,7.5,23.8,2
192,20.5,34.5,38.1,4.3,1
446,25.6,43.0,29.5,20.8,2
328,15.7,18.2,5.0,37.5,2
267,4.2,37.2,93.2,10.4,0
371,21.2,27.2,36.5,1.0,1
484,26.7,42.2,21.6,48.4,2
729,25.3,10.0,32.1,44.4,2
344,22.1,0.5,37.6,3.5,1
103,12.1,6.8,39.4,1.5,1
168,28.1,7.6,83.4,42.4,1
454,13.1,14.2,52.3,32.1,0
456,5.6,30.2,89.9,3.0,0
449,14.5,43.3,82.7,30.0,0
119,24.5,20.2,34.5,45.2,2
57,39.8,33.5,93.6,3.2,1
170,1.5,18.8,55.4,32.8,0
326,29.3,29.3,52.3,5.8,1
330,25.9,4.2,46.7,35.3,1
251,30.0,8.4,40.1,32.2,1
789,0.7,23.0,89.7,47.9,0
103,18.1,46.6,77.3,18.5,0
496,19.8,1.6,80.1,34.9,0
239,15.8,24.1,67.4,24.5,0
478,0.5,27.3,56.7,35.6,0
318,8.0,24.2,5.6,39.2,2
788,24.8,7.7,30.4,39.1,2
740,16.7,13.0,39.0,34.6,2
139,12.3,47.6,97.2,6.1,0
685,39.4,17.0,92.5,41.8,2
769,12.1,32.4,1.3,3.4,2
682,11.6,38.9,43.5,37.7,2
662,1.3,13.6,50.3,46.2,0
623,8.7,5.0,25.5,13.8,0
205,17.3,29.2,96.5,44.1,0
201,40.0,26.6,31.4,12.4,1
520,36.6,29.1,99.0,31.2,0
752,9.8,32.7,35.7,1.3,0
627,12.7,10.8,47.4,40.4,0
495,3.7,18.1,81.2,31.6,0
749,38.4,5.1,6.4,28.8,2
206,31.7,24.6,21.5,38.6,2
95,29.7,27.6,38.2,49.8,2
650,34.9,5.6,34.3,4.2,1
107,5.7,41.8,11.2,24.5,2
107,13.9,39.4,27.3,34.2,2
171,2.1,44.0,21.2,19.5,2
238,11.3,30.2,61.4,26.7,0
131,30.2,16.8,66.8,43.5,1
639,7.0,6.7,88.7,18.5,0
411,32.0,3.7,99.0,23.9,1
725,32.5,33.8,25.7,15.7,2
101,10.2,27.6,47.2,0.5,1
520,22.6,30.5,82.3,47.5,0
271,31.1,3.7,22.8,6.1,1
202,7.2,22.4,81.9,27.7,0
337,21.0,24.6,81.8,17.4,0
426,37.2,37.9,81.8,38.8,2
228,28.8,44.4,64.1,49.7,2
342,16.5,39.2,95.5,15.0,0
681,35.4,33.6,57.4,37.4,2
173,8.3,35.9,81.0,13.5,0
576,16.4,39.1,24.1,37.4,2
75,0.8,23.3,81.6,41.9,0
189,1.8,41.7,18.6,37.5,2
682,16.5,33.7,62.1,1.1,0
789,31.7,4.4,11.4,38.4,2
198,28.7,49.9,48.2,9.2,1
233,16.6,40.2,91.1,24.4,0
465,15.2,27.3,72.8,23.4,0
262,5.7,27.6,46.3,14.9,0
713,34.3,38.3,48.0,37.6,2
572,11.7,18.3,78.1,42.0,0
693,5.7,24.1,26.3,25.6,0
331,13.8,11.1,15.2,34.6,2
341,39.2,13.2,83.6,18.0,1
659,22.8,32.0,84.2,20.0,0
650,14.6,33.2,32.5,27.4,2
144,27.3,40.2,25.7,7.4,1
394,16.3,14.8,42.5,42.5,2
710,9.0,33.0,4.8,14.0,2
375,17.5,41.7,47.3,11.0,1
530,18.8,19.4,24.1,16.8,1
103,4.3,36.8,56.8,5.7,1
792,26.6,43.9,5.9,42.6,2
263,8.6,18.4,52.3,36.8,0
261,20.7,26.2,47.0,1.5,1
530,1.2,8.3,91.9,31.1,0
267,4.7,40.6,22.6,47.3,2
481,3.3,20.6,10.7,30.6,2
372,16.9,10.5,93.2,27.7,0
117,21.9,17.6,58.6,31.1,1
654,9.8,38.9,37.5,1.6,0
100,38.8,31.7,59.8,40.5,1
431,7.2,33.9,93.3,32.4,0
250,7.2,40.0,55.6,20.2,0
621,5.9,38.3,9.0,43.1,2
329,27.4,30.4,34.5,0.4,1
416,38.1,20.0,25.2,39.6,2
248,3.8,34.9,32.8,23.6,0
797,37.5,5.8,77.2,48.0,2
758,5.3,2.4,16.5,18.3,0
608,32.0,11.4,70.3,16.3,1
798,32.1,26.7,68.2,18.7,2
221,39.3,45.0,57.8,40.1,2
438,7.8,32.0,89.1,49.2,0
146,13.5,41.4,67.7,30.6,0
57,35.4,40.9,41.9,41.7,2
503,19.3,40.1,68.2,36.3,2
183,29.8,0.8,1.5,49.3,1
425,14.0,36.5,95.7,12.1,0
554,23.9,45.9,71.3,21.2,2
98,33.2,14.6,1.6,10.5,1
738,28.1,17.9,38.7,8.5,1
80,3.7,49.9,81.5,38.7,0
442,28.3,28.8,7.1,17.4,2
575,24.9,7.9,81.3,29.0,0
768,27.6,19.2,66.7,18.8,0
799,19.4,38.6,40.3,22.0,2
489,37.2,31.0,58.8,41.5,2
352,16.3,48.0,10.3,36.7,2
580,37.7,27.8,14.5,16.8,2
479,37.0,11.6,68.9,4.2,1
200,24.5,45.0,57.0,15.8,1
746,3.2,14.4,23.6,24.4,0
190,12.5,17.4,17.1,10.3,1
147,15.5,47.6,60.4,38.1,2
357,22.6,23.8,72.3,4.5,1
574,32.1,10.5,71.2,22.2,1
677,21.4,20.2,11.3,16.8,2
493,33.4,14.3,4.3,4.2,1
100,35.3,7.7,7.9,12.6,1
640,1.2,4.5,52.5,15.1,0
251,33.5,2.8,22.3,47.8,1
344,24.9,9.8,95.4,39.6,0
547,12.1,10.0,36.6,40.9,0
177,12.9,6.9,98.0,15.8,0
63,10.0,10.8,97.7,44.3,0
137,30.6,45.6,12.8,29.0,2
85,35.1,18.8,24.1,9.0,1
186,39.0,27.1,99.3,21.5,1
262,34.6,34.5,40.6,22.0,1
565,17.3,33.3,43.0,48.0,2
55,19.3,9.4,46.9,24.1,1
149,28.6,25.9,55.4,20.2,1
294,23.8,5.1,49.8,15.1,1
552,2.7,32.7,22.6,34.4,2
309,28.4,44.0,4.3,22.4,2
139,19.9,4.3,35.2,6.6,1
761,27.1,43.7,43.3,2.2,2
79,19.1,33.6,35.2,23.5,1
751,29.7,15.8,99.0,37.4,0
132,30.7,4.7,89.5,0.0,1
708,13.8,17.8,27.9,9.3,1
358,2.9,9.5,78.1,36.9,0
679,3.4,15.6,78.3,33.1,0
104,28.7,35.1,42.5,7.9,1
754,28.6,18.3,32.0,21.3,2
473,6.9,34.4,55.9,47.6,0
243,12.8,46.8,87.8,4.4,0
728,3.4,33.2,60.3,13.5,0
91,36.6,20.4,30.1,26.4,1
316,30.3,38.0,46.2,49.0,2
318,23.8,41.5,12.8,0.7,1
153,33.0,44.5,27.5,11.9,1
387,18.8,10.8,23.6,48.2,2
440,28.5,20.1,59.1,29.9,1
117,27.4,48.1,52.8,38.4,2
545,4.9,6.3,41.1,39.6,0
709,27.9,9.9,79.1,7.6,1
605,10.5,14.5,2.2,6.2,1
388,29.8,32.7,12.3,26.6,2
332,6.1,16.8,65.3,15.5,0
108,18.5,29.0,22.4,5.1,1
659,39.7,9.6,85.4,1.4,1
287,8.9,20.6,88.2,38.3,0
330,9.7,46.5,42.2,31.0,2
717,37.3,25.9,48.6,28.6,2
143,8.5,11.5,19.1,22.9,1
583,10.8,3.5,82.2,39.0,0
409,4.4,30.0,97.5,4.3,0
222,10.5,13.5,37.3,48.3,0
113,24.3,8.5,24.0,6.8,1
480,28.5,18.7,64.5,47.4,2
186,39.4,42.8,35.1,23.5,2
97,39.5,40.7,89.6,25.0,1
160,20.2,23.8,7.5,11.7,1
644,30.9,36.7,18.7,12.8,2
407,37.7,36.4,4.4,39.3,2
540,38.1,46.6,10.5,46.5,2
247,34.6,25.8,23.6,47.8,2
330,12.3,35.3,71.3,15.1,0
692,36.8,2.3,4.9,24.1,1
520,29.9,9.3,2.8,18.6,1
371,9.3,41.5,79.5,15.5,0
696,33.2,3.8,2.4,7.4,1
682,18.0,15.9,31.1,42.9,2
705,26.8,23.2,96.3,49.9,0
655,9.2,42.3,26.6,9.5,2
672,30.9,0.8,82.4,7.6,1
536,8.5,16.5,52.2,6.4,0
777,38.6,36.4,92.2,21.0,2
200,18.8,13.6,73.7,38.2,0
256,9.4,43.4,74.7,9.5,0
448,21.5,35.8,26.3,36.4,2
395,21.7,27.5,88.1,45.2,0
272,38.0,38.3,11.4,3.0,1
312,23.4,49.5,19.7,44.5,2
487,20.3,19.3,33.0,34.1,2
639,39.9,16.8,76.3,20.0,1
645,2.4,35.5,46.2,7.0,0
171,39.5,14.1,50.6,5.7,1
649,25.5,28.8,81.1,6.0,0
84,10.9,29.6,67.8,20.5,0
86,18.3,1.1,84.2,18.5,1
378,30.0,48.9,68.1,49.6,2
283,6.2,46.7,65.7,39.8,0
230,28.7,31.1,22.8,1.2,1
428,9.8,11.5,77.6,4.3,0
743,10.4,0.8,85.8,13.0,0
420,28.3,27.6,13.6,4.4,1
748,1.0,32.7,5.1,11.7,2
789,38.9,22.1,50.3,19.3,2
272,14.3,25.9,62.6,47.1,0
663,13.2,21.2,28.0,11.5,2
383,30.8,47.2,1.4,34.9,2
261,27.3,29.1,86.8,3.2,1
69,36.4,19.2,91.9,0.6,1
336,3.0,22.5,78.2,45.0,0
78,35.9,49.4,44.8,46.1,2
386,8.3,6.1,42.0,4.4,1
620,34.8,45.0,45.9,13.9,2
700,15.1,2.3,1.8,6.3,1
177,12.8,35.1,45.0,28.8,2
766,37.9,37.8,93.2,49.7,2
159,20.6,25.4,39.7,24.6,1
762,39.8,20.0,69.4,42.9,2
156,36.4,46.8,27.2,4.1,1
551,25.5,45.4,70.2,48.8,2
83,35.6,13.5,59.9,15.7,1
767,4.6,25.6,30.9,3.9,0
75,29.3,49.6,43.9,25.4,2
782,13.9,20.6,65.0,27.3,0
616,8.6,40.5,98.4,19.9,0
65,39.8,35.9,4.2,28.6,2
595,2.0,3.0,68.3,24.2,0
639,19.5,2.8,64.2,33.9,0
308,19.4,6.2,20.0,41.1,1
576,29.9,24.9,45.3,11.6,1
770,39.9,22.0,28.7,14.8,2
493,33.5,34.8,79.6,37.0,2
793,5.8,43.9,36.3,5.9,0
58,30.0,31.9,90.6,41.5,1
595,1.8,14.0,96.5,46.2,0
125,1.8,5.9,70.1,18.1,0
451,1.3,37.0,71.5,37.8,0
259,36.5,18.7,90.6,15.8,1
693,3.5,26.6,55.6,19.6,0
137,36.7,16.8,1.4,6.1,1
424,15.1,46.6,39.5,46.1,2
335,29.4,17.2,19.1,22.4,1
301,27.2,30.7,9.1,5.9,1
729,24.1,15.8,50.1,40.8,2
286,0.9,49.0,99.3,12.6,0
449,5.2,16.3,74.6,42.0,0
693,13.4,42.8,42.4,22.9,2
672,22.7,22.8,73.9,47.9,0
480,30.0,43.0,98.8,26.8,0
120,16.4,5.4,23.8,38.7,1
137,13.3,41.8,1.2,39.2,2
182,34.0,43.6,77.0,34.8,2
398,34.6,20.3,27.5,11.7,1
615,24.6,3.0,18.7,32.4,2
660,16.5,48.0,78.2,46.5,2
703,24.3,28.6,35.4,13.1,2
674,19.3,3.1,38.8,3.8,1
231,6.8,46.4,51.1,22.4,0
762,14.2,44.7,73.6,22.4,0
677,1.9,38.2,58.5,18.2,0
551,0.6,8.2,12.5,35.8,0
483,22.9,15.7,50.9,7.0,1
346,4.7,29.2,88.6,16.3,0
245,29.0,42.5,90.0,18.1,1
91,21.8,15.8,14.1,15.2,1
591,22.7,42.0,64.7,41.9,2
207,31.7,14.5,97.0,18.1,1
127,20.3,3.7,81.2,7.7,1
135,36.0,33.1,66.4,20.5,1
330,18.1,22.9,4.9,8.0,1
406,10.0,21.5,92.3,43.4,0
461,0.2,30.7,78.3,47.2,0
737,3.3,14.3,34.5,37.0,0
87,12.1,36.9,97.6,49.6,0
406,13.6,49.7,6.0,42.8,2
94,11.9,21.4,74.3,27.0,0
417,19.3,43.5,42.1,13.5,2
342,33.3,4.5,61.7,6.5,1
61,6.3,14.3,65.5,11.6,1
71,14.9,4.6,31.3,10.8,1
515,34.2,24.0,39.9,42.4,2
685,15.8,0.4,97.0,45.1,0
402,18.2,5.9,4.7,3.7,1
287,35.8,31.8,32.5,49.0,2
305,12.9,33.7,77.2,4.0,0
615,12.0,19.6,61.7,21.7,0
213,8.8,47.0,70.6,8.6,0
716,13.6,30.9,55.5,6.2,0
224,13.8,38.7,97.9,44.3,0
791,10.3,32.8,20.0,10.4,2
455,11.1,22.4,68.9,43.8,0
285,28.9,7.9,64.8,20.4,1
542,38.7,31.4,68.6,34.8,2
246,4.8,26.6,96.2,26.4,0
87,17.3,37.0,14.1,13.8,1
447,2.4,9.9,56.1,33.8,0
537,2.1,18.8,4.5,28.5,2
216,33.0,36.5,74.6,34.9,2
204,24.4,8.6,25.8,13.0,1
303,7.7,20.6,47.7,41.2,0
499,12.7,3.9,24.3,23.5,1
149,39.8,45.2,74.1,10.6,1
737,28.4,9.0,81.2,11.3,0
248,7.1,23.6,47.2,6.4,1
191,34.2,40.4,45.0,31.9,2
114,38.7,2.8,7.0,42.1,1
389,15.8,8.4,84.7,19.0,0
799,28.4,37.9,11.6,25.1,2
570,4.0,27.0,95.5,38.7,0
236,38.1,41.5,34.3,30.9,2
726,22.9,24.6,78.7,6.8,0
223,24.4,40.9,17.5,30.8,2
191,39.6,38.8,19.1,37.4,2
171,21.3,37.4,31.0,49.9,2
779,35.0,42.7,8.3,31.3,2
206,24.2,11.2,68.2,0.9,1
454,33.9,39.5,95.5,35.8,2
253,23.4,19.4,58.3,19.1,1
294,8.0,30.0,75.8,13.9,0
80,22.3,36.5,97.8,11.9,1
82,33.5,16.6,17.3,29.9,1
355,2.6,9.8,16.4,36.7,0
228,14.1,27.9,95.6,13.2,0
91,36.6,39.0,3.3,48.3,2
300,28.4,42.6,49.8,24.4,2
142,24.8,12.8,80.9,8.0,1
422,9.2,14.2,26.3,49.7,2
424,34.1,39.7,11.3,10.9,2
417,6.1,26.9,84.8,2.4,0
511,4.2,16.2,52.6,20.2,0
780,2.9,30.5,78.5,42.3,0
767,16.6,6.9,17.7,4.1,1
201,33.1,25.1,29.4,10.3,1
149,21.2,6.6,70.0,19.0,1
581,21.5,37.9,78.7,10.9,0
745,39.0,12.2,54.6,24.0,2
190,30.4,18.2,23.8,11.9,1
544,32.8,28.4,86.9,3.6,1
109,28.8,4.0,25.2,19.2,1
245,25.4,49.3,66.8,29.9,2
258,9.8,19.5,16.3,35.0,2
497,33.0,45.9,92.5,24.4,2
771,35.1,6.4,6.9,26.2,2
614,16.4,7.9,93.0,33.8,0
258,25.8,7.8,78.2,24.9,1
278,36.5,38.3,3.7,14.6,2
645,6.0,41.5,9.0,18.3,2
555,39.8,0.4,9.5,3.2,1
563,20.6,40.0,63.6,0.2,1
626,9.3,44.2,74.8,15.6,0
712,32.6,0.5,63.7,12.0,1
744,14.5,9.5,51.2,30.5,0
636,14.3,22.9,28.3,27.2,2
431,21.0,39.3,59.2,31.7,2
704,26.6,24.6,98.7,12.0,0
594,12.6,6.9,69.6,9.9,0
502,4.6,23.9,3.0,28.5,2
653,21.9,39.6,48.6,17.9,2
797,28.4,21.2,24.2,36.0,2
660,0.5,14.6,26.8,29.3,0
737,5.8,38.0,46.5,25.0,0
121,17.8,24.7,35.6,28.5,1
629,30.1,30.7,43.5,5.1,1
135,6.5,38.4,77.2,5.6,0
110,33.2,22.7,2.3,24.6,1
795,35.6,2.3,56.2,34.9,2
354,19.5,37.1,0.1,18.7,2
790,0.3,5.6,88.3,34.1,0
787,32.2,26.7,21.1,10.7,2
160,36.5,26.2,17.4,4.7,1
452,3.2,36.6,82.5,31.1,0
718,6.8,14.1,32.9,46.3,0
241,19.6,4.5,83.9,43.5,0
565,36.7,20.7,17.4,10.9,1
200,37.6,30.9,1.0,9.6,1
422,15.0,13.6,11.7,27.2,2
262,12.1,34.8,75.6,13.4,0
758,25.9,20.2,80.2,32.4,0
761,35.1,6.4,68.0,17.6,1
591,38.6,26.4,61.3,35.6,2
587,21.6,12.4,70.0,45.0,0
157,3.4,28.5,98.7,37.6,0
389,34.9,47.3,68.7,1.2,1
80,10.0,7.9,9.2,14.5,1
718,15.3,3.5,52.6,3.5,1
437,39.1,25.3,54.8,45.5,2
221,5.5,42.1,1.6,28.7,2
350,6.0,41.2,11.0,31.7,2
480,14.9,24.2,6.2,45.0,2
321,21.6,6.3,16.5,43.8,2
436,5.3,27.3,62.1,41.6,0
281,27.4,38.9,28.7,3.4,1
105,18.0,46.5,19.6,17.7,2
676,37.7,21.8,84.4,10.9,1
296,32.2,45.6,97.0,14.4,1
297,14.9,13.1,64.4,23.0,0
789,4.7,47.7,71.5,31.2,0
415,31.2,25.0,19.7,17.0,1
131,34.9,15.1,65.7,22.8,1
341,11.3,38.5,33.0,18.6,2
575,32.3,45.0,35.6,26.7,2
698,2.7,0.9,17.7,20.1,0
657,8.6,38.0,49.3,17.4,0
203,35.0,16.4,26.8,41.3,1
744,31.0,24.4,14.2,9.9,2
796,20.4,36.1,79.7,31.4,0
615,16.8,5.5,76.5,33.9,0
712,15.2,9.4,42.7,40.5,0
383,36.1,32.5,80.8,43.0,2
73,14.6,2.6,1.8,12.3,1
563,21.6,10.6,15.5,45.4,2
339,22.2,18.5,70.7,42.8,0
151,14.2,35.9,12.9,37.7,2
703,19.5,25.0,50.9,39.0,2
220,2.7,25.8,8.2,15.9,1
770,12.3,6.4,81.1,46.7,0
193,39.9,22.2,34.2,23.1,1
188,20.4,41.0,42.4,42.8,2
527,25.9,10.1,4.9,23.0,1
508,29.5,26.9,36.9,31.6,2
699,15.8,12.3,81.7,31.8,0
266,6.9,37.4,79.7,8.1,0
212,33.1,22.3,72.0,29.0,1
137,31.9,23.5,5.6,27.2,1
655,20.3,2.8,34.8,39.8,2
783,29.4,21.6,59.8,39.2,2
493,15.3,44.8,53.7,33.0,2
676,3.4,35.0,41.3,14.3,0
138,31.2,42.9,28.8,28.5,2
745,14.5,14.5,27.9,36.9,2
496,4.1,13.8,43.6,17.4,0
613,19.5,18.0,70.1,35.3,0
746,23.4,42.6,80.8,34.4,2
447,39.1,17.9,47.4,27.5,1
365,34.2,41.6,46.0,29.2,2
54,38.2,46.1,30.2,6.7,1
149,32.1,40.3,45.4,30.7,2
773,26.1,21.5,50.1,27.7,2
487,31.8,28.5,19.6,33.5,2
114,8.1,48.7,62.1,40.3,0
686,16.6,2.6,91.1,31.7,0
467,1.3,32.4,72.3,5.4,0
795,28.7,44.3,76.8,11.0,2
496,4.1,14.6,31.2,25.5,0
447,25.2,3.1,56.1,5.9,1
757,33.2,30.9,35.6,19.3,2
791,2.8,37.2,36.4,44.8,2
584,22.4,2.6,55.3,30.4,0
701,32.2,5.4,9.9,42.6,2
491,10.2,38.0,4.1,24.4,2
554,3.5,10.2,91.6,0.1,0
718,19.3,36.6,78.8,25.2,0
255,18.1,5.4,39.4,16.3,1
759,7.3,14.2,47.8,26.0,0
655,33.9,0.9,60.1,10.9,1
452,20.5,25.3,94.0,37.0,0
177,23.1,31.5,95.8,13.7,1
101,28.6,41.0,9.6,18.2,1
156,23.2,4.0,20.5,17.4,1
472,33.7,3.1,44.5,0.2,1
457,0.2,11.4,91.9,35.9,0
643,8.8,45.9,47.4,35.4,2
775,31.7,19.2,44.5,19.4,2
318,21.8,0.7,27.5,7.7,1
505,38.9,18.5,14.7,0.9,1
259,23.2,19.5,48.5,37.2,1
315,38.2,28.2,1.9,12.4,1
160,3.6,11.2,28.1,48.8,0
345,35.8,32.9,4.2,23.4,2
431,35.9,4.8,30.2,36.7,1
175,21.7,40.9,12.7,27.9,2
221,16.3,47.2,40.8,40.3,2
92,15.6,9.9,83.8,42.7,0
441,30.2,31.2,88.4,41.4,0
763,11.0,13.4,80.1,17.4,0
767,34.7,45.1,88.5,7.4,2
